PurchaseDate	PaymentType	Quantity	Car Name	Unit Price	Company Name	Payment Amount
9/16/2002	Cash	3	Mercedes-Benz: SL500 Roadster	83800	Newman Systems	251400
9/21/2002	Visa	1	Mercedes-Benz: SL500 Roadster	83800	Alessandro & Associates	83800
9/21/2002	Visa	3	Mercedes-Benz: SL500 Roadster	83800	Jones & Assoc	251400
9/22/2002	Cash	5	Mercedes-Benz: SL500 Roadster	83800	Holmes World	419000
9/24/2002	Visa	4	Mercedes-Benz: SL500 Roadster	83800	Valentine Hearts	335200
10/1/2002	AmEx	3	Mercedes-Benz: SL500 Roadster	83800	Jones & Assoc	251400
10/6/2002	Master	3	Mercedes-Benz: SL500 Roadster	83800	Christies House of Design	251400
10/9/2002	Master	4	Mercedes-Benz: SL500 Roadster	83800	Mickeys World of Fun	335200
10/11/2002	AmEx	5	Mercedes-Benz: SL500 Roadster	83800	Michelson Systems	419000
10/15/2002	Master	4	Mercedes-Benz: SL500 Roadster	83800	Valentine Hearts	335200
11/2/2002	Cash	5	Mercedes-Benz: SL500 Roadster	83800	McAllister Systems	419000
11/3/2002	Cash	3	Mercedes-Benz: SL500 Roadster	83800	James Systems	251400
11/3/2002	Master	4	Mercedes-Benz: SL500 Roadster	83800	Jones & Assoc	335200
11/6/2002	Visa	4	Mercedes-Benz: SL500 Roadster	83800	Menedez Development	335200
11/6/2002	AmEx	3	Mercedes-Benz: SL500 Roadster	83800	Mildreds World	251400
11/14/2002	Master	5	Mercedes-Benz: SL500 Roadster	83800	Alessandro & Associates	419000
12/2/2002	AmEx	4	Mercedes-Benz: SL500 Roadster	83800	Jeffers Clinic	335200
12/6/2002	Cash	3	Mercedes-Benz: SL500 Roadster	83800	Valentine Hearts	251400
12/8/2002	Cash	1	Mercedes-Benz: SL500 Roadster	83800	Christies House of Design	83800
12/17/2002	Visa	1	Mercedes-Benz: SL500 Roadster	83800	Newman Systems	83800
12/19/2002	Master	3	Mercedes-Benz: SL500 Roadster	83800	Development House	251400
1/27/2002	Visa	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	McAllister Systems	159290
2/22/2002	Master	4	Mercedes-Benz: CLK55 AMG Cabriolet	79645	James Systems	318580
3/9/2002	AmEx	3	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Doe Enterprises	238935
3/25/2002	AmEx	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Hill Corporation	79645
4/5/2002	Master	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Mickeys World of Fun	398225
4/8/2002	Master	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Alessandro & Associates	159290
5/15/2002	Master	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Jeffers Clinic	398225
5/21/2002	Cash	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Mathewson Design	159290
5/23/2002	Visa	3	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Frankson Media	238935
6/2/2002	Cash	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Valentine Hearts	398225
6/6/2002	Visa	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Menedez Development	159290
6/7/2002	Master	3	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Holmes World	238935
6/13/2002	AmEx	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	James Systems	159290
6/15/2002	Cash	4	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Holmes World	318580
6/16/2002	Visa	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Mildreds World	398225
6/23/2002	AmEx	4	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Michelson Systems	318580
7/4/2002	Cash	3	Mercedes-Benz: CLK55 AMG Cabriolet	79645	James Systems	238935
7/7/2002	Master	3	Mercedes-Benz: CLK55 AMG Cabriolet	79645	James Systems	238935
7/19/2002	Visa	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Development House	159290
7/24/2002	Cash	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Alessandro & Associates	79645
7/28/2002	Cash	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Hill Corporation	79645
8/3/2002	Visa	4	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Ford Consulting	318580
8/12/2002	Visa	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Hill Corporation	79645
8/22/2002	AmEx	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Jones & Assoc	79645
8/23/2002	Visa	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Doe Enterprises	79645
9/1/2002	Cash	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Jones & Assoc	159290
9/5/2002	Master	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Christies House of Design	398225
9/20/2002	AmEx	3	Mercedes-Benz: CLK55 AMG Cabriolet	79645	McAllister Systems	238935
9/25/2002	Visa	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Christies House of Design	398225
9/27/2002	Master	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Ford Consulting	79645
10/16/2002	Cash	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Michelson Systems	79645
10/17/2002	Visa	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Jeffers Clinic	159290
10/18/2002	AmEx	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	McAllister Systems	398225
10/21/2002	Visa	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Christies House of Design	79645
10/25/2002	Visa	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Newman Systems	79645
11/8/2002	AmEx	4	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Mildreds World	318580
11/10/2002	Cash	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Jeffers Clinic	159290
11/14/2002	AmEx	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Christies House of Design	398225
11/15/2002	AmEx	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Ford Consulting	398225
11/19/2002	Master	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Christies House of Design	159290
11/21/2002	AmEx	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	James Systems	79645
11/27/2002	Visa	5	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Christies House of Design	398225
12/6/2002	Visa	2	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Frankson Media	159290
12/14/2002	Visa	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Michelson Systems	79645
12/15/2002	AmEx	4	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Mathewson Design	318580
12/20/2002	Cash	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Doe Enterprises	79645
12/20/2002	Cash	4	Mercedes-Benz: CLK55 AMG Cabriolet	79645	Christies House of Design	318580
12/20/2002	Master	1	Mercedes-Benz: CLK55 AMG Cabriolet	79645	McAllister Systems	79645
1/20/2002	AmEx	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Ford Consulting	76800
1/20/2002	Master	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Hill Corporation	51200
1/24/2002	Cash	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Doe Enterprises	76800
1/31/2002	Master	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mathewson Design	102400
2/2/2002	Visa	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mathewson Design	102400
2/6/2002	Visa	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Doe Enterprises	128000
2/8/2002	Visa	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Development House	25600
2/9/2002	AmEx	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Christies House of Design	128000
2/11/2002	Visa	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Valentine Hearts	25600
2/17/2002	Cash	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Holmes World	128000
2/19/2002	Visa	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	James Systems	25600
2/20/2002	AmEx	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Jones & Assoc	51200
2/20/2002	Master	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Michelson Systems	76800
2/20/2002	Cash	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Newman Systems	51200
3/5/2002	Master	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Newman Systems	102400
3/11/2002	Visa	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mickeys World of Fun	25600
3/14/2002	Master	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Doe Enterprises	102400
3/22/2002	Master	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Ford Consulting	102400
3/24/2002	Visa	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Doe Enterprises	51200
3/30/2002	AmEx	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Hill Corporation	51200
4/20/2002	AmEx	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mathewson Design	102400
5/20/2002	Cash	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Valentine Hearts	128000
5/21/2002	Cash	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Doe Enterprises	25600
5/26/2002	Cash	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mickeys World of Fun	76800
6/3/2002	Master	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Alessandro & Associates	102400
6/15/2002	AmEx	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mildreds World	76800
6/29/2002	Visa	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Hill Corporation	76800
7/4/2002	Visa	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Michelson Systems	102400
7/8/2002	AmEx	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	James Systems	25600
7/14/2002	Visa	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Newman Systems	102400
7/18/2002	Cash	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mathewson Design	51200
7/28/2002	Visa	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Holmes World	25600
8/8/2002	Master	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Ford Consulting	25600
8/12/2002	Cash	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Christies House of Design	51200
8/19/2002	Cash	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Christies House of Design	25600
8/20/2002	Cash	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Ford Consulting	76800
8/27/2002	Cash	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Jones & Assoc	25600
8/27/2002	Cash	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Newman Systems	102400
8/31/2002	Cash	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mathewson Design	25600
9/3/2002	Cash	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Christies House of Design	76800
9/4/2002	Master	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Doe Enterprises	76800
9/9/2002	Master	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Newman Systems	128000
9/11/2002	Cash	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mildreds World	102400
9/22/2002	Cash	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mathewson Design	128000
10/7/2002	Cash	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Newman Systems	102400
10/11/2002	Master	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Jeffers Clinic	51200
10/20/2002	Master	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	McAllister Systems	51200
10/24/2002	Cash	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Newman Systems	25600
10/25/2002	Cash	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mathewson Design	76800
10/27/2002	Master	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Frankson Media	25600
10/28/2002	AmEx	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Ford Consulting	51200
10/31/2002	Visa	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Michelson Systems	51200
11/2/2002	AmEx	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	James Systems	51200
11/3/2002	Master	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Jeffers Clinic	102400
11/6/2002	Visa	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Hill Corporation	128000
11/13/2002	Visa	2	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mildreds World	51200
11/19/2002	Visa	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Holmes World	76800
11/19/2002	AmEx	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Jones & Assoc	102400
11/21/2002	Visa	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Valentine Hearts	102400
11/23/2002	Cash	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	McAllister Systems	102400
11/23/2002	Cash	4	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Christies House of Design	102400
11/28/2002	Master	3	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Jeffers Clinic	76800
11/28/2002	AmEx	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Mickeys World of Fun	128000
11/30/2002	AmEx	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Doe Enterprises	128000
12/4/2002	Master	1	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Valentine Hearts	25600
12/8/2002	Master	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	James Systems	128000
12/15/2002	Cash	5	Mercedes-Benz: C230 Kompressor Sport Coupe	25600	Frankson Media	128000
1/22/2002	Cash	3	BMW: 530i	39450	Michelson Systems	118350
1/28/2002	AmEx	2	BMW: 530i	39450	Mathewson Design	78900
2/4/2002	Visa	4	BMW: 530i	39450	Doe Enterprises	157800
2/16/2002	Visa	1	BMW: 530i	39450	Hill Corporation	39450
2/17/2002	Visa	3	BMW: 530i	39450	Ford Consulting	118350
2/20/2002	Visa	4	BMW: 530i	39450	Mickeys World of Fun	157800
2/20/2002	AmEx	5	BMW: 530i	39450	Mickeys World of Fun	197250
2/20/2002	Master	1	BMW: 530i	39450	Valentine Hearts	39450
2/21/2002	Master	5	BMW: 530i	39450	Mildreds World	197250
2/23/2002	AmEx	4	BMW: 530i	39450	Frankson Media	157800
2/25/2002	Cash	1	BMW: 530i	39450	Christies House of Design	39450
2/26/2002	Master	2	BMW: 530i	39450	Doe Enterprises	78900
2/27/2002	AmEx	5	BMW: 530i	39450	Newman Systems	197250
3/19/2002	Cash	4	BMW: 530i	39450	Alessandro & Associates	157800
3/25/2002	AmEx	3	BMW: 530i	39450	James Systems	118350
3/26/2002	AmEx	4	BMW: 530i	39450	Newman Systems	157800
3/28/2002	Cash	4	BMW: 530i	39450	Menedez Development	157800
3/28/2002	Cash	1	BMW: 530i	39450	James Systems	39450
3/31/2002	Cash	1	BMW: 530i	39450	Jones & Assoc	39450
4/7/2002	Cash	2	BMW: 530i	39450	Alessandro & Associates	78900
4/11/2002	Visa	4	BMW: 530i	39450	Frankson Media	157800
4/14/2002	Master	5	BMW: 530i	39450	Valentine Hearts	197250
4/15/2002	Cash	2	BMW: 530i	39450	Development House	78900
4/18/2002	Cash	4	BMW: 530i	39450	Mickeys World of Fun	157800
4/26/2002	Cash	1	BMW: 530i	39450	Mickeys World of Fun	39450
5/20/2002	Master	4	BMW: 530i	39450	Mickeys World of Fun	157800
5/28/2002	Cash	3	BMW: 530i	39450	Hill Corporation	118350
6/2/2002	Visa	4	BMW: 530i	39450	McAllister Systems	157800
6/4/2002	Cash	1	BMW: 530i	39450	McAllister Systems	39450
6/5/2002	AmEx	4	BMW: 530i	39450	Mickeys World of Fun	157800
6/11/2002	Cash	5	BMW: 530i	39450	Jeffers Clinic	197250
6/11/2002	Visa	2	BMW: 530i	39450	Alessandro & Associates	78900
6/15/2002	Cash	2	BMW: 530i	39450	Christies House of Design	78900
6/16/2002	Master	3	BMW: 530i	39450	James Systems	118350
6/20/2002	Visa	5	BMW: 530i	39450	Doe Enterprises	197250
6/20/2002	Cash	5	BMW: 530i	39450	Michelson Systems	197250
6/24/2002	Cash	1	BMW: 530i	39450	McAllister Systems	39450
6/30/2002	AmEx	2	BMW: 530i	39450	Mickeys World of Fun	78900
7/2/2002	Master	1	BMW: 530i	39450	Ford Consulting	39450
7/8/2002	Visa	3	BMW: 530i	39450	Ford Consulting	118350
7/9/2002	Cash	2	BMW: 530i	39450	Hill Corporation	78900
7/10/2002	AmEx	5	BMW: 530i	39450	Development House	197250
7/13/2002	Cash	4	BMW: 530i	39450	Alessandro & Associates	157800
7/17/2002	Master	5	BMW: 530i	39450	Jones & Assoc	197250
7/17/2002	Master	5	BMW: 530i	39450	Frankson Media	197250
7/21/2002	Visa	4	BMW: 530i	39450	Jeffers Clinic	157800
8/1/2002	AmEx	5	BMW: 530i	39450	James Systems	197250
8/2/2002	Master	2	BMW: 530i	39450	Jones & Assoc	78900
8/18/2002	Cash	3	BMW: 530i	39450	Holmes World	118350
8/19/2002	Cash	5	BMW: 530i	39450	Mildreds World	197250
8/23/2002	Master	2	BMW: 530i	39450	Menedez Development	78900
8/24/2002	AmEx	4	BMW: 530i	39450	James Systems	157800
8/27/2002	Master	4	BMW: 530i	39450	Menedez Development	157800
8/28/2002	Master	2	BMW: 530i	39450	Mathewson Design	78900
8/28/2002	AmEx	4	BMW: 530i	39450	Development House	157800
9/8/2002	Cash	2	BMW: 530i	39450	Holmes World	78900
9/11/2002	AmEx	1	BMW: 530i	39450	Christies House of Design	39450
9/12/2002	Master	1	BMW: 530i	39450	Newman Systems	39450
9/13/2002	Visa	5	BMW: 530i	39450	McAllister Systems	197250
9/18/2002	Cash	1	BMW: 530i	39450	Alessandro & Associates	39450
9/19/2002	Cash	4	BMW: 530i	39450	Newman Systems	157800
9/24/2002	Visa	3	BMW: 530i	39450	Ford Consulting	118350
9/30/2002	Master	2	BMW: 530i	39450	Mildreds World	78900
10/22/2002	Master	3	BMW: 530i	39450	Christies House of Design	118350
10/23/2002	Cash	2	BMW: 530i	39450	Mildreds World	78900
11/7/2002	AmEx	2	BMW: 530i	39450	Mildreds World	78900
11/12/2002	Master	4	BMW: 530i	39450	Menedez Development	157800
11/12/2002	Cash	5	BMW: 530i	39450	Jeffers Clinic	197250
11/18/2002	Master	1	BMW: 530i	39450	Mathewson Design	39450
11/29/2002	AmEx	5	BMW: 530i	39450	Holmes World	197250
11/30/2002	Cash	1	BMW: 530i	39450	Valentine Hearts	39450
12/3/2002	Visa	3	BMW: 530i	39450	Frankson Media	118350
12/7/2002	Visa	4	BMW: 530i	39450	Mickeys World of Fun	157800
12/10/2002	AmEx	3	BMW: 530i	39450	Valentine Hearts	118350
12/10/2002	Master	3	BMW: 530i	39450	Hill Corporation	118350
12/12/2002	AmEx	5	BMW: 530i	39450	McAllister Systems	197250
12/12/2002	AmEx	1	BMW: 530i	39450	Frankson Media	39450
12/20/2002	Master	2	BMW: 530i	39450	McAllister Systems	78900
2/14/2002	Visa	5	Rolls-Royce: Corniche	370485	Michelson Systems	1852425
2/19/2002	Cash	1	Rolls-Royce: Corniche	370485	Mildreds World	370485
2/23/2002	Visa	5	Rolls-Royce: Corniche	370485	Jeffers Clinic	1852425
3/3/2002	Cash	5	Rolls-Royce: Corniche	370485	Christies House of Design	1852425
3/11/2002	AmEx	4	Rolls-Royce: Corniche	370485	McAllister Systems	1481940
3/12/2002	Master	5	Rolls-Royce: Corniche	370485	Michelson Systems	1852425
3/17/2002	Cash	1	Rolls-Royce: Corniche	370485	Jeffers Clinic	370485
3/22/2002	Visa	4	Rolls-Royce: Corniche	370485	Christies House of Design	1481940
3/22/2002	Visa	5	Rolls-Royce: Corniche	370485	Jeffers Clinic	1852425
3/28/2002	Master	2	Rolls-Royce: Corniche	370485	Holmes World	740970
4/11/2002	Cash	3	Rolls-Royce: Corniche	370485	Doe Enterprises	1111455
4/15/2002	AmEx	2	Rolls-Royce: Corniche	370485	Menedez Development	740970
4/16/2002	AmEx	4	Rolls-Royce: Corniche	370485	Mathewson Design	1481940
4/22/2002	Master	5	Rolls-Royce: Corniche	370485	Menedez Development	1852425
4/26/2002	Visa	2	Rolls-Royce: Corniche	370485	James Systems	740970
4/26/2002	Cash	5	Rolls-Royce: Corniche	370485	Jones & Assoc	1852425
4/29/2002	Visa	3	Rolls-Royce: Corniche	370485	Jones & Assoc	1111455
5/8/2002	AmEx	5	Rolls-Royce: Corniche	370485	Mickeys World of Fun	1852425
5/26/2002	Cash	3	Rolls-Royce: Corniche	370485	Alessandro & Associates	1111455
5/31/2002	AmEx	2	Rolls-Royce: Corniche	370485	Doe Enterprises	740970
6/5/2002	AmEx	3	Rolls-Royce: Corniche	370485	Mildreds World	1111455
6/7/2002	AmEx	3	Rolls-Royce: Corniche	370485	Mildreds World	1111455
6/11/2002	Cash	4	Rolls-Royce: Corniche	370485	Mildreds World	1481940
6/20/2002	Master	5	Rolls-Royce: Corniche	370485	Newman Systems	1852425
6/22/2002	AmEx	5	Rolls-Royce: Corniche	370485	Michelson Systems	1852425
6/25/2002	Cash	5	Rolls-Royce: Corniche	370485	McAllister Systems	1852425
6/28/2002	Master	2	Rolls-Royce: Corniche	370485	Mildreds World	740970
7/1/2002	AmEx	3	Rolls-Royce: Corniche	370485	Development House	1111455
7/9/2002	Cash	1	Rolls-Royce: Corniche	370485	Michelson Systems	370485
7/13/2002	Visa	4	Rolls-Royce: Corniche	370485	Hill Corporation	1481940
7/24/2002	Master	5	Rolls-Royce: Corniche	370485	Newman Systems	1852425
7/26/2002	Cash	1	Rolls-Royce: Corniche	370485	James Systems	370485
8/1/2002	Visa	1	Rolls-Royce: Corniche	370485	Christies House of Design	370485
8/4/2002	Master	2	Rolls-Royce: Corniche	370485	Doe Enterprises	740970
8/4/2002	Cash	5	Rolls-Royce: Corniche	370485	Holmes World	1852425
8/18/2002	Visa	2	Rolls-Royce: Corniche	370485	Christies House of Design	740970
8/26/2002	Master	2	Rolls-Royce: Corniche	370485	Mickeys World of Fun	740970
9/7/2002	AmEx	4	Rolls-Royce: Corniche	370485	Frankson Media	1481940
9/9/2002	Cash	2	Rolls-Royce: Corniche	370485	Mildreds World	740970
9/10/2002	Master	2	Rolls-Royce: Corniche	370485	Christies House of Design	740970
9/12/2002	Master	3	Rolls-Royce: Corniche	370485	Hill Corporation	1111455
9/12/2002	Master	3	Rolls-Royce: Corniche	370485	Mickeys World of Fun	1111455
